[2022-08-28 09:09:26.393] 
[2022-08-28 09:09:26.393] 
[2022-08-28 09:09:26.393] Swarm MPCIE (MPCIE) Bootloader
[2022-08-28 09:09:26.393] Copyright (c) 2019-22 Swarm Technologies, Inc
[2022-08-28 09:11:03.153] $RT RSSI=-113*1e
[2022-08-28 09:11:04.153] $RT RSSI=-113*1e
[2022-08-28 09:11:05.152] $RT RSSI=-112*1f
[2022-08-28 09:11:06.153] $RT RSSI=-112*1f
[2022-08-28 09:11:07.153] $RT RSSI=-113*1e
[2022-08-28 09:11:08.152] $RT RSSI=-112*1f
[2022-08-28 09:11:09.153] $RT RSSI=-113*1e
[2022-08-28 09:11:10.153] $RT RSSI=-112*1f
[2022-08-28 09:11:11.153] $RT RSSI=-113*1e
[2022-08-28 09:11:12.153] $RT RSSI=-112*1f
[2022-08-28 09:11:13.154] $RT RSSI=-113*1e
[2022-08-28 09:11:14.152] $RT RSSI=-112*1f
[2022-08-28 09:11:15.152] $RT RSSI=-113*1e
[2022-08-28 09:11:16.153] $RT RSSI=-112*1f
[2022-08-28 09:11:17.152] $RT RSSI=-113*1e
[2022-08-28 09:11:18.152] $RT RSSI=-113*1e
[2022-08-28 09:11:19.153] $RT RSSI=-113*1e
[2022-08-28 09:11:20.154] $RT RSSI=-113*1e
[2022-08-28 09:11:22.045] $RT RSSI=-113*1e
[2022-08-28 09:11:22.047] $DT @*70
[2022-08-28 09:11:22.152] $RT RSSI=-112*1f
[2022-08-28 09:11:23.152] $RT RSSI=-112*1f
[2022-08-28 09:11:24.154] $RT RSSI=-113*1e
[2022-08-28 09:11:25.152] $RT RSSI=-113*1e
[2022-08-28 09:11:26.152] $RT RSSI=-112*1f
[2022-08-28 09:11:27.152] $RT RSSI=-112*1f
[2022-08-28 09:11:28.152] $RT RSSI=-113*1e
[2022-08-28 09:11:29.152] $RT RSSI=-112*1f
[2022-08-28 09:11:30.154] $RT RSSI=-112*1f
[2022-08-28 09:11:31.153] $RT RSSI=-112*1f
[2022-08-28 09:11:32.152] $RT RSSI=-112*1f
[2022-08-28 09:11:33.152] $RT RSSI=-112*1f
[2022-08-28 09:11:34.152] $RT RSSI=-113*1e
[2022-08-28 09:11:35.152] $RT RSSI=-112*1f
[2022-08-28 09:11:36.152] $RT RSSI=-112*1f
[2022-08-28 09:11:37.152] $RT RSSI=-112*1f
[2022-08-28 09:11:38.153] $RT RSSI=-112*1f
[2022-08-28 09:11:39.152] $RT RSSI=-113*1e
[2022-08-28 09:11:40.152] $RT RSSI=-112*1f
[2022-08-28 09:11:41.152] $RT RSSI=-113*1e
[2022-08-28 09:11:42.859] $RT RSSI=-112*1f
[2022-08-28 09:11:42.864] $FV*10
[2022-08-28 09:11:42.867] $FV 2022-05-16T21:45:08,v2.0.2*04
[2022-08-28 09:11:43.152] $RT RSSI=-113*1e
[2022-08-28 09:11:44.152] $RT RSSI=-113*1e
[2022-08-28 09:11:45.153] $RT RSSI=-113*1e
[2022-08-28 09:11:46.152] $RT RSSI=-113*1e
[2022-08-28 09:11:47.152] $RT RSSI=-112*1f
[2022-08-28 09:11:48.153] $RT RSSI=-112*1f
[2022-08-28 09:11:49.155] $RT RSSI=-112*1f
[2022-08-28 09:11:50.156] $RT RSSI=-112*1f
[2022-08-28 09:11:51.154] $RT RSSI=-112*1f
[2022-08-28 09:11:52.152] $RT RSSI=-113*1e
[2022-08-28 09:11:53.154] $RT RSSI=-113*1e
[2022-08-28 09:11:54.155] $RT RSSI=-113*1e
[2022-08-28 09:11:55.155] $RT RSSI=-113*1e
[2022-08-28 09:11:56.153] $RT RSSI=-113*1e
[2022-08-28 09:11:57.152] $RT RSSI=-112*1f
[2022-08-28 09:11:58.152] $RT RSSI=-113*1e
[2022-08-28 09:11:59.153] $RT RSSI=-112*1f
[2022-08-28 09:12:00.152] $RT RSSI=-112*1f
[2022-08-28 09:12:01.152] $RT RSSI=-113*1e
[2022-08-28 09:12:02.152] $RT RSSI=-112*1f
[2022-08-28 09:12:03.152] $RT RSSI=-113*1e
[2022-08-28 09:12:04.152] $RT RSSI=-112*1f
[2022-08-28 09:12:05.151] $RT RSSI=-112*1f
[2022-08-28 09:12:06.153] $RT RSSI=-112*1f
[2022-08-28 09:12:07.152] $RT RSSI=-113*1e
[2022-08-28 09:12:08.151] $RT RSSI=-113*1e
[2022-08-28 09:12:09.151] $RT RSSI=-112*1f
[2022-08-28 09:12:10.153] $RT RSSI=-113*1e
[2022-08-28 09:12:11.152] $RT RSSI=-113*1e
[2022-08-28 09:12:12.152] $RT RSSI=-113*1e
[2022-08-28 09:12:12.884] $GN$RT RSSI=-112*1f
[2022-08-28 09:12:14.152] $RT RSSI=-113*1e
[2022-08-28 09:12:15.152] $RT RSSI=-112*1f
[2022-08-28 09:12:16.152] $RT RSSI=-112*1f
[2022-08-28 09:12:17.153] $RT RSSI=-112*1f
[2022-08-28 09:12:18.152] $RT RSSI=-113*1e
[2022-08-28 09:12:19.152] $RT RSSI=-113*1e
[2022-08-28 09:12:20.152] $RT RSSI=-113*1e
[2022-08-28 09:12:21.865] $RT RSSI=-113*1e
[2022-08-28 09:12:21.867] $GN
[2022-08-28 09:12:21.871] $CMD? ERR,CMD_NMEACHECKSUMFAIL*21
[2022-08-28 09:12:22.152] $RT RSSI=-112*1f
[2022-08-28 09:12:23.152] $RT RSSI=-113*1e
[2022-08-28 09:12:24.152] $RT RSSI=-112*1f
[2022-08-28 09:12:25.151] $RT RSSI=-113*1e
[2022-08-28 09:12:26.152] $RT RSSI=-113*1e
[2022-08-28 09:12:27.153] $RT RSSI=-112*1f
[2022-08-28 09:12:28.152] $RT RSSI=-112*1f
[2022-08-28 09:12:29.152] $RT RSSI=-112*1f
[2022-08-28 09:12:30.152] $RT RSSI=-113*1e
[2022-08-28 09:12:31.152] $RT RSSI=-113*1e
[2022-08-28 09:12:32.152] $RT RSSI=-113*1e
[2022-08-28 09:12:33.151] $RT RSSI=-113*1e
[2022-08-28 09:12:34.152] $RT RSSI=-112*1f
[2022-08-28 09:12:35.152] $RT RSSI=-113*1e
[2022-08-28 09:12:36.152] $RT RSSI=-113*1e
[2022-08-28 09:12:37.152] $RT RSSI=-112*1f
[2022-08-28 09:12:38.152] $RT RSSI=-112*1f
[2022-08-28 09:12:39.152] $RT RSSI=-112*1f
[2022-08-28 09:12:40.152] $RT RSSI=-113*1e
[2022-08-28 09:12:41.152] $RT RSSI=-112*1f
[2022-08-28 09:12:42.152] $RT RSSI=-113*1e
[2022-08-28 09:12:43.152] $RT RSSI=-112*1f
[2022-08-28 09:12:44.152] $RT RSSI=-113*1e
[2022-08-28 09:12:45.152] $RT RSSI=-113*1e
[2022-08-28 09:12:46.152] $RT RSSI=-113*1e
[2022-08-28 09:12:47.152] $RT RSSI=-113*1e
[2022-08-28 09:12:48.152] $RT RSSI=-112*1f
[2022-08-28 09:12:49.151] $RT RSSI=-112*1f
[2022-08-28 09:12:50.152] $RT RSSI=-113*1e
